"year","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2010,"LEP","grade 3","math","full_year",699,685,258,127,300,212,46
2010,"LEP","grade 3","read","full_year",699,682,259,138,285,223,36
2010,"LEP","grade 8","math","full_year",283,260,110,49,101,90,20
2010,"LEP","grade 8","read","full_year",283,258,91,37,130,75,16
2010,"LEP","grade 7","math","full_year",310,299,157,60,82,129,28
2010,"LEP","grade 7","read","full_year",310,299,121,45,133,98,23
2010,"LEP","grade 6","math","full_year",372,364,157,63,144,119,38
2010,"LEP","grade 6","read","full_year",372,363,124,63,176,115,9
2010,"Economy","all","math","full_year",22161,21440,8544,4502,8394,7134,1410
2010,"Economy","all","read","full_year",22161,21468,8275,3854,9339,7234,1041
2010,"Economy","grade 3","math","full_year",3514,3479,1039,938,1502,871,168
2010,"Economy","grade 3","read","full_year",3514,3477,1162,946,1369,1042,120
2010,"Economy","grade 5","math","full_year",3166,3125,1202,579,1344,991,211
2010,"Economy","grade 5","read","full_year",3166,3124,1196,539,1389,1082,114
2010,"Economy","grade 4","math","full_year",3393,3356,1313,722,1321,1096,217
2010,"Economy","grade 4","read","full_year",3393,3359,1252,718,1389,1131,121
2010,"Economy","grade 6","math","full_year",3106,3078,1206,609,1263,945,261
2010,"Economy","grade 6","read","full_year",3106,3077,1109,535,1433,1042,67
2010,"Economy","grade 7","math","full_year",3048,2994,1443,606,945,1213,230
2010,"Economy","grade 7","read","full_year",3048,3002,1300,364,1338,1049,251
2010,"Economy","grade 8","math","full_year",3200,3136,1448,594,1094,1236,212
2010,"Economy","grade 8","read","full_year",3200,3149,1363,444,1342,1123,240
2010,"Economy","grade 10","math","full_year",2734,2272,893,454,925,782,111
2010,"Economy","grade 10","read","full_year",2734,2280,893,308,1079,765,128
2011,"All","all","math","full_year",32334,31414,14867,5518,11029,11166,3701
2011,"All","all","read","full_year",32334,31428,14317,5105,12006,11462,2855
2011,"All","grade 5","math","full_year",4827,4752,2146,856,1750,1553,593
2011,"All","grade 5","read","full_year",4827,4754,2182,767,1805,1812,370
2011,"All","grade 6","math","full_year",4424,4339,2003,634,1702,1388,615
2011,"All","grade 6","read","full_year",4424,4335,1867,649,1819,1625,242
2011,"All","grade 4","math","full_year",4852,4757,2196,892,1669,1656,540
2011,"All","grade 4","read","full_year",4852,4755,2096,884,1775,1701,395
2011,"All","grade 7","math","full_year",4484,4421,2510,619,1292,1904,606
2011,"All","grade 7","read","full_year",4484,4417,2166,484,1767,1548,618
2011,"All","grade 3","math","full_year",4835,4752,1721,1069,1962,1164,557
2011,"All","grade 3","read","full_year",4835,4752,1975,1048,1729,1785,190
2011,"All","grade 8","math","full_year",4341,4216,2499,537,1180,1987,512
2011,"All","grade 8","read","full_year",4341,4215,2110,548,1557,1561,549
2011,"All","grade 10","math","full_year",4571,4177,1792,911,1474,1514,278
2011,"All","grade 10","read","full_year",4571,4200,1921,725,1554,1430,491
2011,"MALE","all","math","full_year",16288,15779,7087,3129,5563,5234,1853
2011,"MALE","all","read","full_year",16288,15782,6418,3270,6094,5247,1171
2011,"MALE","grade 5","math","full_year",2465,2424,1075,483,866,765,310
2011,"MALE","grade 5","read","full_year",2465,2424,991,464,969,824,167
2011,"MALE","grade 7","math","full_year",2267,2230,1152,367,711,859,293
2011,"MALE","grade 7","read","full_year",2267,2227,957,338,932,708,249
2011,"MALE","grade 4","math","full_year",2464,2415,1074,522,819,803,271
2011,"MALE","grade 4","read","full_year",2464,2411,987,579,845,820,167
2011,"MALE","grade 8","math","full_year",2179,2111,1179,306,626,924,255
2011,"MALE","grade 8","read","full_year",2179,2109,946,355,808,739,207
2011,"MALE","grade 6","math","full_year",2245,2194,954,355,885,660,294
2011,"MALE","grade 6","read","full_year",2245,2192,822,443,927,723,99
2011,"MALE","grade 3","math","full_year",2484,2438,852,610,976,557,295
2011,"MALE","grade 3","read","full_year",2484,2437,915,654,868,816,99
2011,"MALE","grade 10","math","full_year",2184,1967,801,486,680,666,135
2011,"MALE","grade 10","read","full_year",2184,1982,800,437,745,617,183
2011,"FEMALE","all","math","full_year",16046,15635,7780,2389,5466,5932,1848
2011,"FEMALE","all","read","full_year",16046,15646,7899,1835,5912,6215,1684
2011,"FEMALE","grade 5","math","full_year",2362,2328,1071,373,884,788,283
2011,"FEMALE","grade 5","read","full_year",2362,2330,1191,303,836,988,203
2011,"FEMALE","grade 6","math","full_year",2179,2145,1049,279,817,728,321
2011,"FEMALE","grade 6","read","full_year",2179,2143,1045,206,892,902,143
