"year","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2010,"FEMALE","All","math","full_year",15734,15205,7197,2498,5510,5646,1551
2010,"FEMALE","All","read","full_year",15734,15213,7605,1709,5899,6118,1487
2010,"FEMALE","grade 3","math","full_year",2406,2380,937,499,944,734,203
2010,"FEMALE","grade 3","read","full_year",2406,2379,1132,405,842,949,183
2010,"FEMALE","grade 4","math","full_year",2362,2333,1077,416,840,824,253
2010,"FEMALE","grade 4","read","full_year",2362,2333,1158,327,848,974,184
2010,"FEMALE","grade 6","math","full_year",2203,2172,1023,329,820,744,279
2010,"FEMALE","grade 6","read","full_year",2203,2171,1006,227,938,881,125
2010,"FEMALE","grade 7","math","full_year",2128,2090,1172,302,616,941,231
2010,"FEMALE","grade 7","read","full_year",2128,2093,1165,150,778,844,321
2010,"FEMALE","grade 8","math","full_year",2230,2179,1149,335,695,935,214
2010,"FEMALE","grade 8","read","full_year",2230,2183,1154,192,837,838,316
2010,"FEMALE","grade 10","math","full_year",2249,1919,843,321,755,712,131
2010,"FEMALE","grade 10","read","full_year",2249,1921,896,180,845,712,184
2010,"FEMALE","grade 5","math","full_year",2156,2132,996,296,840,756,240
2010,"FEMALE","grade 5","read","full_year",2156,2133,1094,228,811,920,174
2010,"AS7","All","math","full_year",461,438,361,15,62,201,160
2010,"AS7","All","read","full_year",461,437,336,15,86,226,110
2010,"AS7","grade 10","math","full_year",54,49,38,2,9,25,13
2010,"AS7","grade 10","read","full_year",54,49,34,2,13,24,10
2010,"AS7","grade 3","math","full_year",89,87,66,1,20,45,21
2010,"AS7","grade 3","read","full_year",89,87,65,3,19,51,14
2010,"AS7","grade 4","math","full_year",81,76,62,4,10,32,30
2010,"AS7","grade 4","read","full_year",81,76,58,5,13,41,17
2010,"AS7","grade 5","math","full_year",63,61,55,0,6,31,24
2010,"AS7","grade 5","read","full_year",63,60,52,0,8,36,16
2010,"AS7","grade 6","math","full_year",57,55,42,5,8,12,30
2010,"AS7","grade 6","read","full_year",57,55,40,3,12,29,11
2010,"AS7","grade 8","math","full_year",61,57,50,1,6,27,23
2010,"AS7","grade 8","read","full_year",61,57,43,1,13,20,23
2010,"AS7","grade 7","math","full_year",56,53,48,2,3,29,19
2010,"AS7","grade 7","read","full_year",56,53,44,1,8,25,19
2010,"BL7","All","math","full_year",25776,24715,10236,5088,9391,8491,1745
2010,"BL7","All","read","full_year",25776,24754,10318,4178,10258,8865,1453
2010,"BL7","grade 3","math","full_year",3758,3700,1180,968,1552,986,194
