"year","lea_code","lea_name","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,0,"CHARTER SECTOR LEA","HI7","grade 5","math","full_year",185,185,104,22,59,84,20
2014,0,"CHARTER SECTOR LEA","HI7","grade 5","read","full_year",185,184,106,13,65,98,8
2014,0,"CHARTER SECTOR LEA","HI7","grade 8","math","full_year",252,234,163,14,57,129,34
2014,0,"CHARTER SECTOR LEA","HI7","grade 8","read","full_year",252,233,132,15,86,117,15
2014,0,"CHARTER SECTOR LEA","MU7","all","math","full_year",160,160,134,5,21,66,68
2014,0,"CHARTER SECTOR LEA","MU7","all","read","full_year",160,160,131,4,25,98,33
2014,0,"CHARTER SECTOR LEA","MU7","grade 6","math","full_year",31,31,24,2,5,10,14
2014,0,"CHARTER SECTOR LEA","MU7","grade 6","read","full_year",31,31,22,2,7,17,5
2014,0,"CHARTER SECTOR LEA","MU7","grade 5","math","full_year",34,34,29,1,4,16,13
2014,0,"CHARTER SECTOR LEA","MU7","grade 5","read","full_year",34,34,32,0,2,26,6
2014,0,"CHARTER SECTOR LEA","MU7","grade 4","math","full_year",31,31,28,0,3,11,17
2014,0,"CHARTER SECTOR LEA","MU7","grade 4","read","full_year",31,31,23,0,8,17,6
2014,0,"CHARTER SECTOR LEA","MU7","grade 3","math","full_year",26,26,19,2,5,9,10
2014,0,"CHARTER SECTOR LEA","MU7","grade 3","read","full_year",26,26,20,1,5,17,3
2014,0,"CHARTER SECTOR LEA","WH7","all","math","full_year",586,584,535,3,46,219,316
2014,0,"CHARTER SECTOR LEA","WH7","all","read","full_year",586,584,551,3,30,344,207
2014,0,"CHARTER SECTOR LEA","WH7","grade 7","math","full_year",80,80,77,0,3,22,55
2014,0,"CHARTER SECTOR LEA","WH7","grade 7","read","full_year",80,80,78,0,2,22,56
2014,0,"CHARTER SECTOR LEA","WH7","grade 4","math","full_year",62,62,59,0,3,21,38
2014,0,"CHARTER SECTOR LEA","WH7","grade 4","read","full_year",62,62,60,0,2,37,23
2014,0,"CHARTER SECTOR LEA","WH7","grade 3","math","full_year",89,88,76,0,12,48,28
2014,0,"CHARTER SECTOR LEA","WH7","grade 3","read","full_year",89,88,84,0,4,60,24
2014,0,"CHARTER SECTOR LEA","WH7","grade 6","math","full_year",125,125,115,2,8,30,85
2014,0,"CHARTER SECTOR LEA","WH7","grade 6","read","full_year",125,125,114,0,11,89,25
2014,0,"CHARTER SECTOR LEA","WH7","grade 8","math","full_year",65,64,60,0,4,20,40
2014,0,"CHARTER SECTOR LEA","WH7","grade 8","read","full_year",65,64,59,0,5,29,30
2014,0,"CHARTER SECTOR LEA","WH7","grade 5","math","full_year",144,144,128,1,15,65,63
2014,0,"CHARTER SECTOR LEA","WH7","grade 5","read","full_year",144,144,139,1,4,101,38
2014,0,"CHARTER SECTOR LEA","SPED","all","math","full_year",2428,2356,720,656,980,563,157
2014,0,"CHARTER SECTOR LEA","SPED","all","read","full_year",2428,2334,537,712,1085,442,95
2014,0,"CHARTER SECTOR LEA","SPED","grade 6","math","full_year",388,372,84,142,146,60,24
2014,0,"CHARTER SECTOR LEA","SPED","grade 6","read","full_year",388,369,67,134,168,56,11
2014,0,"CHARTER SECTOR LEA","SPED","grade 4","math","full_year",315,315,112,95,108,86,26
2014,0,"CHARTER SECTOR LEA","SPED","grade 4","read","full_year",315,313,69,111,133,57,12
2014,0,"CHARTER SECTOR LEA","SPED","grade 7","math","full_year",399,378,106,103,169,83,23
2014,0,"CHARTER SECTOR LEA","SPED","grade 7","read","full_year",399,374,101,68,205,84,17
2014,0,"CHARTER SECTOR LEA","SPED","grade 3","math","full_year",320,314,90,93,131,65,25
2014,0,"CHARTER SECTOR LEA","SPED","grade 3","read","full_year",320,302,67,138,97,53,14
2014,0,"CHARTER SECTOR LEA","SPED","grade 8","math","full_year",374,352,141,62,149,126,15
2014,0,"CHARTER SECTOR LEA","SPED","grade 8","read","full_year",374,351,88,76,187,76,12
2014,0,"CHARTER SECTOR LEA","SPED","grade 5","math","full_year",315,315,104,79,132,72,32
2014,0,"CHARTER SECTOR LEA","SPED","grade 5","read","full_year",315,314,85,78,151,66,19
2014,0,"CHARTER SECTOR LEA","SPED","grade 10","math","full_year",317,310,83,82,145,71,12
2014,0,"CHARTER SECTOR LEA","SPED","grade 10","read","full_year",317,311,60,107,144,50,10
2014,0,"CHARTER SECTOR LEA","LEP","all","math","full_year",1159,1133,551,150,432,463,88
2014,0,"CHARTER SECTOR LEA","LEP","all","read","full_year",1159,1125,440,166,519,416,24
2014,0,"CHARTER SECTOR LEA","LEP","grade 4","math","full_year",190,189,108,24,57,86,22
2014,0,"CHARTER SECTOR LEA","LEP","grade 4","read","full_year",190,189,78,28,83,77,1
2014,0,"CHARTER SECTOR LEA","LEP","grade 6","math","full_year",184,176,76,34,66,62,14
2014,0,"CHARTER SECTOR LEA","LEP","grade 6","read","full_year",184,175,46,39,90,44,2
2014,0,"CHARTER SECTOR LEA","LEP","grade 10","math","full_year",89,88,40,14,34,37,3
2014,0,"CHARTER SECTOR LEA","LEP","grade 10","read","full_year",89,88,28,15,45,25,3
2014,0,"CHARTER SECTOR LEA","LEP","grade 3","math","full_year",242,241,93,31,117,78,15
2014,0,"CHARTER SECTOR LEA","LEP","grade 3","read","full_year",242,240,102,45,93,98,4
2014,0,"CHARTER SECTOR LEA","LEP","grade 8","math","full_year",138,132,71,13,48,61,10
2014,0,"CHARTER SECTOR LEA","LEP","grade 8","read","full_year",138,131,47,16,68,45,2
2014,0,"CHARTER SECTOR LEA","LEP","grade 5","math","full_year",157,157,83,23,51,75,8
2014,0,"CHARTER SECTOR LEA","LEP","grade 5","read","full_year",157,156,68,15,73,66,2
2014,0,"CHARTER SECTOR LEA","LEP","grade 7","math","full_year",159,150,80,11,59,64,16
2014,0,"CHARTER SECTOR LEA","LEP","grade 7","read","full_year",159,146,71,8,67,61,10
2014,0,"CHARTER SECTOR LEA","Economy","all","math","full_year",10631,10408,5834,1223,3351,4453,1381
2014,0,"CHARTER SECTOR LEA","Economy","all","read","full_year",10631,10381,5084,1169,4128,4525,559
2014,0,"CHARTER SECTOR LEA","Economy","grade 4","math","full_year",1453,1447,882,187,378,644,238
2014,0,"CHARTER SECTOR LEA","Economy","grade 4","read","full_year",1453,1446,717,171,558,656,61
2014,0,"CHARTER SECTOR LEA","Economy","grade 7","math","full_year",1732,1650,1007,166,477,774,233
2014,0,"CHARTER SECTOR LEA","Economy","grade 7","read","full_year",1732,1640,904,85,651,717,187
