"fiscal_year","lea_code","lea_name","indicator","value","target","weight","target_dir","on_target"
2012,106,"Booker T. Washington PCS","4b_b",NA,0,0.25,"down",NA
2012,106,"Booker T. Washington PCS","5a",NA,0.175,0.3333,"up",NA
2012,106,"Booker T. Washington PCS","5b",NA,0.15,0.3333,"down",NA
2012,106,"Booker T. Washington PCS","5c",NA,0.15,0.3333,"down",NA
2012,106,"Booker T. Washington PCS","6a",NA,0.63,0.5,"up",NA
2012,106,"Booker T. Washington PCS","6b",NA,0.15,0.5,"down",NA
2012,106,"Booker T. Washington PCS","7a_a",NA,0.7,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","7a_b",NA,0.6,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","7b_a",NA,0.9,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","7b_b",NA,0.6,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","7c_a",NA,0.6,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","7c_b",NA,0.8,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","8",NA,0.75,1,"up",NA
2012,106,"Booker T. Washington PCS","9",NA,0,1,"down",NA
2012,107,"Bridges PCS","1",NA,0.85,1,"up",NA
2012,107,"Bridges PCS","10",NA,0,1,"down",NA
2012,107,"Bridges PCS","11",1,1,1,"up",TRUE
2012,107,"Bridges PCS","12",NA,1,1,"up",NA
2012,107,"Bridges PCS","13",NA,1,1,"up",NA
2012,107,"Bridges PCS","14_a",NA,0.27,0.3333,"up",NA
2012,107,"Bridges PCS","14_b",NA,0.51,0.3333,"up",NA
2012,107,"Bridges PCS","14_c",NA,0.64,0.3333,"up",NA
2012,107,"Bridges PCS","15",1,NA,NA,NA,NA
2012,107,"Bridges PCS","18",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","19",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","2",NA,0.06,1,"down",NA
2012,107,"Bridges PCS","20",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","3a",NA,0.5,0.3333,"up",NA
2012,107,"Bridges PCS","3b_math",NA,0.95,0.1667,"up",NA
2012,107,"Bridges PCS","3b_reading",NA,0.95,0.1667,"up",NA
2012,107,"Bridges PCS","3c_elem.math",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","3c_elem.reading",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","3c_sec.math",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","3c_sec.reading",NA,NA,NA,NA,NA
2012,107,"Bridges PCS","4a",NA,0,0.5,"down",NA
2012,107,"Bridges PCS","4b_a",NA,0,0.25,"down",NA
2012,107,"Bridges PCS","4b_b",NA,0,0.25,"down",NA
2012,107,"Bridges PCS","5a",NA,0.175,0.3333,"up",NA
2012,107,"Bridges PCS","5b",NA,0.15,0.3333,"down",NA
2012,107,"Bridges PCS","5c",NA,0.15,0.3333,"down",NA
2012,107,"Bridges PCS","6a",0.16,0.63,0.5,"up",FALSE
2012,107,"Bridges PCS","6b",0.45,0.15,0.5,"down",FALSE
2012,107,"Bridges PCS","7a_a",0.89,0.7,0.1667,"up",TRUE
2012,107,"Bridges PCS","7a_b",0.62,0.6,0.1667,"up",TRUE
2012,107,"Bridges PCS","7b_a",0.71,0.9,0.1667,"up",FALSE
2012,107,"Bridges PCS","7b_b",0.62,0.6,0.1667,"up",TRUE
2012,107,"Bridges PCS","7c_a",0.71,0.6,0.1667,"up",TRUE
2012,107,"Bridges PCS","7c_b",0.54,0.8,0.1667,"up",FALSE
2012,107,"Bridges PCS","8",NA,0.75,1,"up",NA
2012,107,"Bridges PCS","9",NA,0,1,"down",NA
2012,108,"Capital City PCS","1",NA,0.85,1,"up",NA
2012,108,"Capital City PCS","10",0,0,1,"down",TRUE
2012,108,"Capital City PCS","11",0.91,1,1,"up",FALSE
2012,108,"Capital City PCS","12",NA,1,1,"up",NA
2012,108,"Capital City PCS","13",0.4,1,1,"up",FALSE
2012,108,"Capital City PCS","14_a",NA,0.27,0.3333,"up",NA
2012,108,"Capital City PCS","14_b",NA,0.51,0.3333,"up",NA
2012,108,"Capital City PCS","14_c",NA,0.64,0.3333,"up",NA
2012,108,"Capital City PCS","15",0.36,NA,NA,NA,NA
2012,108,"Capital City PCS","18",NA,NA,NA,NA,NA
2012,108,"Capital City PCS","19",NA,NA,NA,NA,NA
2012,108,"Capital City PCS","2",NA,0.06,1,"down",NA
2012,108,"Capital City PCS","20",NA,NA,NA,NA,NA
2012,108,"Capital City PCS","3a",0,0.5,0.3333,"up",FALSE
2012,108,"Capital City PCS","3b_math",1,0.95,0.1667,"up",TRUE
2012,108,"Capital City PCS","3b_reading",0.977,0.95,0.1667,"up",TRUE
2012,108,"Capital City PCS","3c_elem.math",0.1951,NA,NA,NA,NA
2012,108,"Capital City PCS","3c_elem.reading",0.3171,NA,NA,NA,NA
2012,108,"Capital City PCS","3c_sec.math",0.2444,NA,NA,NA,NA
2012,108,"Capital City PCS","3c_sec.reading",0.3488,NA,NA,NA,NA
2012,108,"Capital City PCS","4a",0,0,0.5,"down",TRUE
2012,108,"Capital City PCS","4b_a",0,0,0.25,"down",TRUE
2012,108,"Capital City PCS","4b_b",NA,0,0.25,"down",NA
2012,108,"Capital City PCS","5a",0.8,0.175,0.3333,"up",TRUE
2012,108,"Capital City PCS","5b",0.01,0.15,0.3333,"down",TRUE
2012,108,"Capital City PCS","5c",0.03,0.15,0.3333,"down",TRUE
2012,108,"Capital City PCS","6a",NA,0.63,0.5,"up",NA
2012,108,"Capital City PCS","6b",NA,0.15,0.5,"down",NA
2012,108,"Capital City PCS","7a_a",1,0.7,0.1667,"up",TRUE
2012,108,"Capital City PCS","7a_b",0.75,0.6,0.1667,"up",TRUE
2012,108,"Capital City PCS","7b_a",0.67,0.9,0.1667,"up",FALSE
2012,108,"Capital City PCS","7b_b",0.5,0.6,0.1667,"up",FALSE
2012,108,"Capital City PCS","7c_a",0.5,0.6,0.1667,"up",FALSE
2012,108,"Capital City PCS","7c_b",0.75,0.8,0.1667,"up",FALSE
2012,108,"Capital City PCS","8",NA,0.75,1,"up",NA
2012,108,"Capital City PCS","9",0,0,1,"down",TRUE
2012,109,"Cesar Chavez PCS","1",0.375,0.85,1,"up",FALSE
2012,109,"Cesar Chavez PCS","10",NA,0,1,"down",NA
2012,109,"Cesar Chavez PCS","11",NA,1,1,"up",NA
2012,109,"Cesar Chavez PCS","12",NA,1,1,"up",NA
2012,109,"Cesar Chavez PCS","13",NA,1,1,"up",NA
2012,109,"Cesar Chavez PCS","14_a",0.3889,0.27,0.3333,"up",TRUE
2012,109,"Cesar Chavez PCS","14_b",0.3889,0.51,0.3333,"up",FALSE
2012,109,"Cesar Chavez PCS","14_c",0.3889,0.64,0.3333,"up",FALSE
2012,109,"Cesar Chavez PCS","15",NA,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","18",NA,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","19",NA,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","2",0.08,0.06,1,"down",FALSE
2012,109,"Cesar Chavez PCS","20",NA,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","3a",0,0.5,0.3333,"up",FALSE
2012,109,"Cesar Chavez PCS","3b_math",0.94,0.95,0.1667,"up",FALSE
2012,109,"Cesar Chavez PCS","3b_reading",0.94,0.95,0.1667,"up",FALSE
2012,109,"Cesar Chavez PCS","3c_elem.math",0.1379,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","3c_elem.reading",0,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","3c_sec.math",0.3077,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","3c_sec.reading",0.1846,NA,NA,NA,NA
2012,109,"Cesar Chavez PCS","4a",NA,0,0.5,"down",NA
2012,109,"Cesar Chavez PCS","4b_a",NA,0,0.25,"down",NA
2012,109,"Cesar Chavez PCS","4b_b",NA,0,0.25,"down",NA
2012,109,"Cesar Chavez PCS","5a",NA,0.175,0.3333,"up",NA
2012,109,"Cesar Chavez PCS","5b",NA,0.15,0.3333,"down",NA
2012,109,"Cesar Chavez PCS","5c",NA,0.15,0.3333,"down",NA
2012,109,"Cesar Chavez PCS","6a",NA,0.63,0.5,"up",NA
2012,109,"Cesar Chavez PCS","6b",NA,0.15,0.5,"down",NA
2012,109,"Cesar Chavez PCS","7a_a",NA,0.7,0.1667,"up",NA
2012,109,"Cesar Chavez PCS","7a_b",NA,0.6,0.1667,"up",NA
2012,109,"Cesar Chavez PCS","7b_a",NA,0.9,0.1667,"up",NA
2012,109,"Cesar Chavez PCS","7b_b",NA,0.6,0.1667,"up",NA
2012,109,"Cesar Chavez PCS","7c_a",NA,0.6,0.1667,"up",NA
2012,109,"Cesar Chavez PCS","7c_b",NA,0.8,0.1667,"up",NA
2012,109,"Cesar Chavez PCS","8",NA,0.75,1,"up",NA
2012,109,"Cesar Chavez PCS","9",NA,0,1,"down",NA
2012,113,"Community Academy PCS","1",NA,0.85,1,"up",NA
2012,113,"Community Academy PCS","10",1,0,1,"down",FALSE
2012,113,"Community Academy PCS","11",0.89,1,1,"up",FALSE
2012,113,"Community Academy PCS","12",NA,1,1,"up",NA
2012,113,"Community Academy PCS","13",NA,1,1,"up",NA
2012,113,"Community Academy PCS","14_a",NA,0.27,0.3333,"up",NA
2012,113,"Community Academy PCS","14_b",NA,0.51,0.3333,"up",NA
2012,113,"Community Academy PCS","14_c",NA,0.64,0.3333,"up",NA
2012,113,"Community Academy PCS","15",0.82,NA,NA,NA,NA
2012,113,"Community Academy PCS","18",NA,NA,NA,NA,NA
2012,113,"Community Academy PCS","19",NA,NA,NA,NA,NA
2012,113,"Community Academy PCS","2",NA,0.06,1,"down",NA
2012,113,"Community Academy PCS","20",NA,NA,NA,NA,NA
2012,113,"Community Academy PCS","3a",0,0.5,0.3333,"up",FALSE
2012,113,"Community Academy PCS","3b_math",1,0.95,0.1667,"up",TRUE
2012,113,"Community Academy PCS","3b_reading",0.99,0.95,0.1667,"up",TRUE
2012,113,"Community Academy PCS","3c_elem.math",0.2078,NA,NA,NA,NA
2012,113,"Community Academy PCS","3c_elem.reading",0.1316,NA,NA,NA,NA
2012,113,"Community Academy PCS","3c_sec.math",0.125,NA,NA,NA,NA
2012,113,"Community Academy PCS","3c_sec.reading",0,NA,NA,NA,NA
2012,113,"Community Academy PCS","4a",1,0,0.5,"down",FALSE
2012,113,"Community Academy PCS","4b_a",0,0,0.25,"down",TRUE
2012,113,"Community Academy PCS","4b_b",0,0,0.25,"down",TRUE
2012,113,"Community Academy PCS","5a",0.65,0.175,0.3333,"up",TRUE
2012,113,"Community Academy PCS","5b",0.05,0.15,0.3333,"down",TRUE
2012,113,"Community Academy PCS","5c",0.07,0.15,0.3333,"down",TRUE
2012,113,"Community Academy PCS","6a",0.2,0.63,0.5,"up",FALSE
2012,113,"Community Academy PCS","6b",0,0.15,0.5,"down",TRUE
2012,113,"Community Academy PCS","7a_a",0.75,0.7,0.1667,"up",TRUE
2012,113,"Community Academy PCS","7a_b",0.8,0.6,0.1667,"up",TRUE
2012,113,"Community Academy PCS","7b_a",1,0.9,0.1667,"up",TRUE
2012,113,"Community Academy PCS","7b_b",0.8,0.6,0.1667,"up",TRUE
2012,113,"Community Academy PCS","7c_a",1,0.6,0.1667,"up",TRUE
2012,113,"Community Academy PCS","7c_b",1,0.8,0.1667,"up",TRUE
2012,113,"Community Academy PCS","8",NA,0.75,1,"up",NA
2012,113,"Community Academy PCS","9",0,0,1,"down",TRUE
2012,114,"D.C. Bilingual PCS","1",NA,0.85,1,"up",NA
2012,114,"D.C. Bilingual PCS","10",0,0,1,"down",TRUE
2012,114,"D.C. Bilingual PCS","11",0.94,1,1,"up",FALSE
2012,114,"D.C. Bilingual PCS","12",NA,1,1,"up",NA
2012,114,"D.C. Bilingual PCS","13",NA,1,1,"up",NA
2012,114,"D.C. Bilingual PCS","14_a",NA,0.27,0.3333,"up",NA
2012,114,"D.C. Bilingual PCS","14_b",NA,0.51,0.3333,"up",NA
2012,114,"D.C. Bilingual PCS","14_c",NA,0.64,0.3333,"up",NA
2012,114,"D.C. Bilingual PCS","15",0.86,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","18",NA,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","19",NA,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","2",NA,0.06,1,"down",NA
2012,114,"D.C. Bilingual PCS","20",NA,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","3a",NA,0.5,0.3333,"up",NA
2012,114,"D.C. Bilingual PCS","3b_math",NA,0.95,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","3b_reading",NA,0.95,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","3c_elem.math",0.125,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","3c_elem.reading",0.0833,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","3c_sec.math",NA,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","3c_sec.reading",NA,NA,NA,NA,NA
2012,114,"D.C. Bilingual PCS","4a",0,0,0.5,"down",TRUE
2012,114,"D.C. Bilingual PCS","4b_a",0,0,0.25,"down",TRUE
2012,114,"D.C. Bilingual PCS","4b_b",NA,0,0.25,"down",NA
2012,114,"D.C. Bilingual PCS","5a",0.7,0.175,0.3333,"up",TRUE
2012,114,"D.C. Bilingual PCS","5b",0.23,0.15,0.3333,"down",FALSE
2012,114,"D.C. Bilingual PCS","5c",0,0.15,0.3333,"down",TRUE
2012,114,"D.C. Bilingual PCS","6a",NA,0.63,0.5,"up",NA
2012,114,"D.C. Bilingual PCS","6b",NA,0.15,0.5,"down",NA
2012,114,"D.C. Bilingual PCS","7a_a",NA,0.7,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","7a_b",NA,0.6,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","7b_a",NA,0.9,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","7b_b",NA,0.6,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","7c_a",NA,0.6,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","7c_b",NA,0.8,0.1667,"up",NA
2012,114,"D.C. Bilingual PCS","8",NA,0.75,1,"up",NA
2012,114,"D.C. Bilingual PCS","9",0,0,1,"down",TRUE
2012,115,"D.C. Preparatory Academy PCS","1",NA,0.85,1,"up",NA
2012,115,"D.C. Preparatory Academy PCS","10",0,0,1,"down",TRUE
2012,115,"D.C. Preparatory Academy PCS","11",0.97,1,1,"up",FALSE
2012,115,"D.C. Preparatory Academy PCS","12",NA,1,1,"up",NA
2012,115,"D.C. Preparatory Academy PCS","13",NA,1,1,"up",NA
2012,115,"D.C. Preparatory Academy PCS","14_a",NA,0.27,0.3333,"up",NA
2012,115,"D.C. Preparatory Academy PCS","14_b",NA,0.51,0.3333,"up",NA
2012,115,"D.C. Preparatory Academy PCS","14_c",NA,0.64,0.3333,"up",NA
2012,115,"D.C. Preparatory Academy PCS","15",0,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","18",NA,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","19",NA,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","2",NA,0.06,1,"down",NA
2012,115,"D.C. Preparatory Academy PCS","20",NA,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","3a",0,0.5,0.3333,"up",FALSE
2012,115,"D.C. Preparatory Academy PCS","3b_math",1,0.95,0.1667,"up",TRUE
2012,115,"D.C. Preparatory Academy PCS","3b_reading",1,0.95,0.1667,"up",TRUE
2012,115,"D.C. Preparatory Academy PCS","3c_elem.math",0.5098,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","3c_elem.reading",0.2549,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","3c_sec.math",1,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","3c_sec.reading",0.5,NA,NA,NA,NA
2012,115,"D.C. Preparatory Academy PCS","4a",0,0,0.5,"down",TRUE
2012,115,"D.C. Preparatory Academy PCS","4b_a",0,0,0.25,"down",TRUE
2012,115,"D.C. Preparatory Academy PCS","4b_b",NA,0,0.25,"down",NA
2012,115,"D.C. Preparatory Academy PCS","5a",0.71,0.175,0.3333,"up",TRUE
2012,115,"D.C. Preparatory Academy PCS","5b",0,0.15,0.3333,"down",TRUE
2012,115,"D.C. Preparatory Academy PCS","5c",0.07,0.15,0.3333,"down",TRUE
2012,115,"D.C. Preparatory Academy PCS","6a",NA,0.63,0.5,"up",NA
2012,115,"D.C. Preparatory Academy PCS","6b",NA,0.15,0.5,"down",NA
2012,115,"D.C. Preparatory Academy PCS","7a_a",NA,0.7,0.1667,"up",NA
2012,115,"D.C. Preparatory Academy PCS","7a_b",NA,0.6,0.1667,"up",NA
2012,115,"D.C. Preparatory Academy PCS","7b_a",NA,0.9,0.1667,"up",NA
2012,115,"D.C. Preparatory Academy PCS","7b_b",NA,0.6,0.1667,"up",NA
2012,115,"D.C. Preparatory Academy PCS","7c_a",NA,0.6,0.1667,"up",NA
2012,115,"D.C. Preparatory Academy PCS","7c_b",NA,0.8,0.1667,"up",NA
2012,115,"D.C. Preparatory Academy PCS","8",NA,0.75,1,"up",NA
