"year","lea_code","lea_name","subgroup","subject","grade","enrollment_status","n_test_takers","baseline","target"
2014,122,"Hospitality PCS","BL7","Math","all","full_year",29,0.5,0.625
2014,135,"Meridian PCS","LEP","Math","all","full_year",68,0.532258064516129,0.649193548387097
2014,137,"Options PCS","All","Math","all","full_year",147,0.122448979591837,0.341836734693878
2014,156,"Center City PCS","All","Math","all","full_year",831,0.342780026990553,0.507085020242915
2014,158,"Excel Academy PCS","All","Math","all","full_year",155,0.610344759016091,0.707758569262069
2014,158,"Excel Academy PCS","SPED","Math","all","full_year",27,0.0216376474116412,0.103167843460671
2014,160,"Washington Yu Ying PCS","MU7","Math","all","full_year",27,0.930625973743445,0.936407142598158
2014,160,"Washington Yu Ying PCS","SPED","Math","all","full_year",27,0.651267277041271,0.680328337287832
2014,170,"DC Scholars PCS","BL7","Math","all","full_year",55,0.692058312621372,0.717720119902924
2014,1,"District of Columbia Public Schools","All","Math","all","full_year",18037,0.437844521147803,0.578383390860852
2014,1,"District of Columbia Public Schools","MU7","Math","all","full_year",328,NA,NA
2014,106,"Booker T. Washington PCS","BL7","Math","all","full_year",27,0.2,0.4
2014,108,"Capital City PCS","WH7","Math","all","full_year",48,0.862745098039216,0.897058823529412
2014,151,"Washington Latin PCS","HI7","Math","all","full_year",34,0.742857142857143,0.807142857142857
2014,156,"Center City PCS","BL7","Math","all","full_year",617,0.340729001584786,0.505546751188589
2014,159,"Imagine Southeast PCS","All","Math","all","full_year",138,0.330578512396694,0.497933884297521
2014,160,"Washington Yu Ying PCS","WH7","Math","all","full_year",37,0.847336388724621,0.872780323937184
2014,108,"Capital City PCS","ECONOMY","Math","all","full_year",359,0.554347826086957,0.665760869565217
2014,108,"Capital City PCS","HI7","Math","all","full_year",221,0.556451612903226,0.667338709677419
2014,129,"KIPP DC PCS","BL7","Math","all","full_year",1403,0.777576853526221,0.833182640144665
2014,130,"Latin American Montessori Bilingual (LAMB) PCS","All","Math","all","full_year",56,0.574468085106383,0.680851063829787
2014,140,"Roots PCS","ECONOMY","Math","all","full_year",31,0.366666666666667,0.525
2014,146,"Thurgood Marshall Academy PCS","All","Math","all","full_year",96,0.747126436781609,0.810344827586207
2014,147,"Tree of Life PCS","BL7","Math","all","full_year",122,0.413333333333333,0.56
2014,149,"Two Rivers PCS","SPED","Math","all","full_year",80,0.224489795918367,0.418367346938776
2014,153,"William E. Doar Jr PCS","BL7","Math","all","full_year",175,0.349344978165939,0.512008733624454
2014,108,"Capital City PCS","All","Math","all","full_year",494,0.631067961165049,0.723300970873786
2014,109,"Cesar Chavez PCS","HI7","Math","all","full_year",237,0.751412429378531,0.813559322033898
2014,124,"Howard University Middle School of Math and Science","BL7","Math","all","full_year",290,0.797047970479705,0.847785977859779
2014,137,"Options PCS","ECONOMY","Math","all","full_year",147,0.118881118881119,0.339160839160839
2014,149,"Two Rivers PCS","ECONOMY","Math","all","full_year",161,0.494505494505495,0.620879120879121
2014,109,"Cesar Chavez PCS","BL7","Math","all","full_year",500,0.617760617760618,0.713320463320463
2014,113,"Community Academy PCS","All","Math","all","full_year",374,0.441016333938294,0.580762250453721
2014,113,"Community Academy PCS","SPED","Math","all","full_year",69,0.0860215053763441,0.314516129032258
2014,116,"E.L. Haynes PCS","All","Math","all","full_year",571,0.769968051118211,0.827476038338658
2014,116,"E.L. Haynes PCS","SPED","Math","all","full_year",118,0.627118644067797,0.720338983050847
