school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BURROUGHS EC,220,ELEM,3,58,23,35
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,LANGDON EC,262,ELEM,3,68,51,17
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,LASALLE BACKUS EC,264,ELEM,3,18,9,9
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,NOYES EC,290,ELEM,3,84,52,32
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,OYSTER ADAMS BILINGUAL SCHOOL (OYSTER),292,ELEM,1,269,200,69
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,RAYMOND EC,302,ELEM,2,112,83,29
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,TAKOMA EC,324,ELEM,2,136,111,25
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,TRUESDELL EC,327,ELEM,3,207,188,19
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WALKER JONES EC,332,ELEM,4,42,38,4
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WEST EC,336,ELEM,2,64,54,10
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WHEATLEY EC,335,ELEM,4,40,31,9
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WHITTIER EC,338,ELEM,3,455,407,48
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BALLOU STAY,462,SEC,NA,237,210,27
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,"INCARCERATED YOUTH PROGRAM, CORRECTIONAL DETENTION FACILITY",480,SEC,NA,42,42,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,ROOSEVELT STAY AT MACFARLAND,456,SEC,NA,14,13,1
2013-2014,ARTS AND TECHNOLOGY PCS,104,ARTS AND TECHNOLOGY PCS,181,ELEM,3,13,7,6
2013-2014,BOOKER T. WASHINGTON PCS,106,BOOKER T  WASHINGTON PCS,151,"SEC, ADULT",4,119,103,16
2013-2014,BRIDGES PCS,107,BRIDGES PCS,142,ELEM,2,25,15,10
2013-2014,CAPITAL CITY PCS,108,CAPITAL CITY HIGH SCHOOL PCS,1207,SEC,1,19,18,1
2013-2014,CAPITAL CITY PCS,108,CAPITAL CITY MIDDLE SCHOOL,182,SEC,2,155,149,6
2013-2014,CAPITAL CITY PCS,108,CAPITAL CITY LOWER PCS,184,ELEM,1,8,8,0
2013-2014,CESAR CHAVEZ PCS,109,CESAR CHAVEZ FOR PUBLIC POLICY-CAPITOL HILL PCS,153,SEC,3,14,14,0
2013-2014,CESAR CHAVEZ PCS,109,CESAR CHAVEZ PCS FOR PUBLIC POLICY-PARKSIDE HS,109,SEC,3,11,11,0
2013-2014,CESAR CHAVEZ PCS,109,CESAR CHAVEZ FOR PUBLIC POLICY-PARKSIDE MS PCS,102,SEC,4,97,97,0
2013-2014,CESAR CHAVEZ PCS,109,CESAR CHAVEZ PCS FOR PUBLIC POLICY-CHAVEZ PREP,127,SEC,4,93,88,5
2013-2014,COMMUNITY ACADEMY PCS,113,COMMUNITY ACADEMY AMOS I,105,ELEM,2,18,15,3
2013-2014,COMMUNITY ACADEMY PCS,113,COMMUNITY ACADEMY AMOS II,158,ELEM,3,20,18,2
2013-2014,COMMUNITY ACADEMY PCS,113,COMMUNITY ACADEMY AMOS III,1109,ELEM,4,15,6,9
2013-2014,COMMUNITY ACADEMY PCS,113,COMMUNITY ACADEMY CAPCS ONLINE,108,ELEM,1,11,3,8
2013-2014,COMMUNITY ACADEMY PCS,113,COMMUNITY ACADEMY BUTLER GLOBAL,106,ELEM,2,81,31,50
2013-2014,DC BILINGUAL PCS,114,DC BILINGUAL PCS,199,ELEM,2,22,18,4
2013-2014,D.C. PREPARATORY ACADEMY PCS,115,D C  PREP-EDGEWOOD MIDDLE CAMPUS PCS,196,SEC,3,4,4,0
2013-2014,D.C. PREPARATORY ACADEMY PCS,115,D C  PREP-BENNING ELEMENTARY PCS,1110,ELEM,2,21,13,8
2013-2014,D.C. PREPARATORY ACADEMY PCS,115,D C  PREP-EDGEWOOD ELEMENTARY PCS,130,ELEM,2,37,24,13
2013-2014,D.C. PREPARATORY ACADEMY PCS,115,D C PREPARATORY BENNING MIDDLE CAMPUS,218,ELEM,3,27,18,9
2013-2014,E.L. HAYNES PCS,116,E.L. HAYNES KANSAS AVENUE - HIGH SCHOOL,1138,SEC,1,6,6,0
2013-2014,E.L. HAYNES PCS,116,E L  HAYNES PCS GEORGIA AVENUE,146,SEC,2,39,39,0
2013-2014,E.L. HAYNES PCS,116,E.L. HAYNES PCS KANSAS AVENUE (ELEMENTARY SCHOOL),1206,ELEM,1,40,36,4
2013-2014,EAGLE ACADEMY PCS,117,EAGLE ACADEMY PCS NEW JERSEY AVENUE CAMPUS,1125,ELEM,2,21,12,9
2013-2014,EAGLE ACADEMY PCS,117,EAGLE ACADEMY PCS - EAGLE CENTER AT MCGOGNEY,195,ELEM,3,18,14,4
