,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
105-2013-14-All Students-Entry-External-March,105-2013-14-All Students-Entry-External,March,105,2013-14,All Students,Entry,0.013422819,0.041829169,External,596,8
105-2013-14-All Students-Withdrawal-External-March,105-2013-14-All Students-Withdrawal-External,March,105,2013-14,All Students,Withdrawal,0.043624163,0.047057815,External,596,26
105-2013-14-All Students-Net Cumulative-External-March,105-2013-14-All Students-Net Cumulative-External,March,105,2013-14,All Students,Net Cumulative,-0.030201342,-0.005228646,External,596,-18
105-2013-14-All Students-Entry-External-May,105-2013-14-All Students-Entry-External,May,105,2013-14,All Students,Entry,0.013422819,0.052072171,External,596,8
105-2013-14-All Students-Withdrawal-External-May,105-2013-14-All Students-Withdrawal-External,May,105,2013-14,All Students,Withdrawal,0.050335571,0.056165088,External,596,30
105-2013-14-All Students-Net Cumulative-External-May,105-2013-14-All Students-Net Cumulative-External,May,105,2013-14,All Students,Net Cumulative,-0.03691275,-0.004092915,External,596,-22
105-2013-14-All Students-Entry-External-November,105-2013-14-All Students-Entry-External,November,105,2013-14,All Students,Entry,0.005033557,0.01965028,External,596,3
105-2013-14-All Students-Withdrawal-External-November,105-2013-14-All Students-Withdrawal-External,November,105,2013-14,All Students,Withdrawal,0.015100671,0.019071702,External,596,9
105-2013-14-All Students-Net Cumulative-External-November,105-2013-14-All Students-Net Cumulative-External,November,105,2013-14,All Students,Net Cumulative,-0.010067114,0.00057858,External,596,-6
105-2013-14-All Students-Entry-External-October,105-2013-14-All Students-Entry-External,October,105,2013-14,All Students,Entry,0.005033557,0.013221618,External,596,3
105-2013-14-All Students-Withdrawal-External-October,105-2013-14-All Students-Withdrawal-External,October,105,2013-14,All Students,Withdrawal,0.010067114,0.011743025,External,596,6
105-2013-14-All Students-Net Cumulative-External-October,105-2013-14-All Students-Net Cumulative-External,October,105,2013-14,All Students,Net Cumulative,-0.005033557,0.001478593,External,596,-3
106-2013-14-All Students-Entry-External-April,106-2013-14-All Students-Entry-External,April,106,2013-14,All Students,Entry,0.026515152,0.047614966,External,264,7
106-2013-14-All Students-Withdrawal-External-April,106-2013-14-All Students-Withdrawal-External,April,106,2013-14,All Students,Withdrawal,0.037878789,0.052543607,External,264,10
106-2013-14-All Students-Net Cumulative-External-April,106-2013-14-All Students-Net Cumulative-External,April,106,2013-14,All Students,Net Cumulative,-0.011363637,-0.004928642,External,264,-3
106-2013-14-All Students-Entry-External-December,106-2013-14-All Students-Entry-External,December,106,2013-14,All Students,Entry,0.022727273,0.02346462,External,264,6
106-2013-14-All Students-Withdrawal-External-December,106-2013-14-All Students-Withdrawal-External,December,106,2013-14,All Students,Withdrawal,0.022727273,0.02577894,External,264,6
106-2013-14-All Students-Net Cumulative-External-December,106-2013-14-All Students-Net Cumulative-External,December,106,2013-14,All Students,Net Cumulative,0,-0.002314319,External,264,0
106-2013-14-All Students-Entry-External-February,106-2013-14-All Students-Entry-External,February,106,2013-14,All Students,Entry,0.022727273,0.0368791,External,264,6
106-2013-14-All Students-Withdrawal-External-February,106-2013-14-All Students-Withdrawal-External,February,106,2013-14,All Students,Withdrawal,0.026515152,0.040672008,External,264,7
106-2013-14-All Students-Net Cumulative-External-February,106-2013-14-All Students-Net Cumulative-External,February,106,2013-14,All Students,Net Cumulative,-0.003787879,-0.003792911,External,264,-1
106-2013-14-All Students-Entry-External-January,106-2013-14-All Students-Entry-External,January,106,2013-14,All Students,Entry,0.022727273,0.031586166,External,264,6
106-2013-14-All Students-Withdrawal-External-January,106-2013-14-All Students-Withdrawal-External,January,106,2013-14,All Students,Withdrawal,0.022727273,0.034071915,External,264,6
106-2013-14-All Students-Net Cumulative-External-January,106-2013-14-All Students-Net Cumulative-External,January,106,2013-14,All Students,Net Cumulative,0,-0.00248575,External,264,0
106-2013-14-All Students-Entry-External-March,106-2013-14-All Students-Entry-External,March,106,2013-14,All Students,Entry,0.026515152,0.041829169,External,264,7
106-2013-14-All Students-Withdrawal-External-March,106-2013-14-All Students-Withdrawal-External,March,106,2013-14,All Students,Withdrawal,0.026515152,0.047057815,External,264,7
106-2013-14-All Students-Net Cumulative-External-March,106-2013-14-All Students-Net Cumulative-External,March,106,2013-14,All Students,Net Cumulative,0,-0.005228646,External,264,0
106-2013-14-All Students-Entry-External-May,106-2013-14-All Students-Entry-External,May,106,2013-14,All Students,Entry,0.026515152,0.052072171,External,264,7
106-2013-14-All Students-Withdrawal-External-May,106-2013-14-All Students-Withdrawal-External,May,106,2013-14,All Students,Withdrawal,0.041666668,0.056165088,External,264,11
106-2013-14-All Students-Net Cumulative-External-May,106-2013-14-All Students-Net Cumulative-External,May,106,2013-14,All Students,Net Cumulative,-0.015151516,-0.004092915,External,264,-4
106-2013-14-All Students-Entry-External-November,106-2013-14-All Students-Entry-External,November,106,2013-14,All Students,Entry,0.022727273,0.01965028,External,264,6
106-2013-14-All Students-Withdrawal-External-November,106-2013-14-All Students-Withdrawal-External,November,106,2013-14,All Students,Withdrawal,0.015151516,0.019071702,External,264,4
106-2013-14-All Students-Net Cumulative-External-November,106-2013-14-All Students-Net Cumulative-External,November,106,2013-14,All Students,Net Cumulative,0.007575758,0.00057858,External,264,2
106-2013-14-All Students-Entry-External-October,106-2013-14-All Students-Entry-External,October,106,2013-14,All Students,Entry,0.015151516,0.013221618,External,264,4
106-2013-14-All Students-Withdrawal-External-October,106-2013-14-All Students-Withdrawal-External,October,106,2013-14,All Students,Withdrawal,0.003787879,0.011743025,External,264,1
106-2013-14-All Students-Net Cumulative-External-October,106-2013-14-All Students-Net Cumulative-External,October,106,2013-14,All Students,Net Cumulative,0.011363637,0.001478593,External,264,3
108-2013-14-All Students-Entry-External-April,108-2013-14-All Students-Entry-External,April,108,2013-14,All Students,Entry,0.020408163,0.050895598,External,147,3
108-2013-14-All Students-Withdrawal-External-April,108-2013-14-All Students-Withdrawal-External,April,108,2013-14,All Students,Withdrawal,0.25170067,0.054191891,External,147,37
108-2013-14-All Students-Net Cumulative-External-April,108-2013-14-All Students-Net Cumulative-External,April,108,2013-14,All Students,Net Cumulative,-0.231292516,-0.003296293,External,147,-34
108-2013-14-All Students-Entry-External-December,108-2013-14-All Students-Entry-External,December,108,2013-14,All Students,Entry,0.006802721,0.023944771,External,147,1
108-2013-14-All Students-Withdrawal-External-December,108-2013-14-All Students-Withdrawal-External,December,108,2013-14,All Students,Withdrawal,0.149659857,0.024235012,External,147,22
108-2013-14-All Students-Net Cumulative-External-December,108-2013-14-All Students-Net Cumulative-External,December,108,2013-14,All Students,Net Cumulative,-0.142857149,-0.00029024,External,147,-21
108-2013-14-All Students-Entry-External-February,108-2013-14-All Students-Entry-External,February,108,2013-14,All Students,Entry,0.020408163,0.039057966,External,147,3
108-2013-14-All Students-Withdrawal-External-February,108-2013-14-All Students-Withdrawal-External,February,108,2013-14,All Students,Withdrawal,0.21768707,0.039576251,External,147,32
108-2013-14-All Students-Net Cumulative-External-February,108-2013-14-All Students-Net Cumulative-External,February,108,2013-14,All Students,Net Cumulative,-0.197278917,-0.000518285,External,147,-29
108-2013-14-All Students-Entry-External-January,108-2013-14-All Students-Entry-External,January,108,2013-14,All Students,Entry,0.006802721,0.032672692,External,147,1
108-2013-14-All Students-Withdrawal-External-January,108-2013-14-All Students-Withdrawal-External,January,108,2013-14,All Students,Withdrawal,0.190476194,0.032589767,External,147,28
108-2013-14-All Students-Net Cumulative-External-January,108-2013-14-All Students-Net Cumulative-External,January,108,2013-14,All Students,Net Cumulative,-0.183673471,8.29256E-05,External,147,-27
108-2013-14-All Students-Entry-External-March,108-2013-14-All Students-Entry-External,March,108,2013-14,All Students,Entry,0.020408163,0.045629822,External,147,3
108-2013-14-All Students-Withdrawal-External-March,108-2013-14-All Students-Withdrawal-External,March,108,2013-14,All Students,Withdrawal,0.244897962,0.046251763,External,147,36
108-2013-14-All Students-Net Cumulative-External-March,108-2013-14-All Students-Net Cumulative-External,March,108,2013-14,All Students,Net Cumulative,-0.224489793,-0.000621942,External,147,-33
108-2013-14-All Students-Entry-External-May,108-2013-14-All Students-Entry-External,May,108,2013-14,All Students,Entry,0.020408163,0.055352848,External,147,3
108-2013-14-All Students-Withdrawal-External-May,108-2013-14-All Students-Withdrawal-External,May,108,2013-14,All Students,Withdrawal,0.258503407,0.058483291,External,147,38
108-2013-14-All Students-Net Cumulative-External-May,108-2013-14-All Students-Net Cumulative-External,May,108,2013-14,All Students,Net Cumulative,-0.238095239,-0.003130442,External,147,-35
108-2013-14-All Students-Entry-External-November,108-2013-14-All Students-Entry-External,November,108,2013-14,All Students,Entry,0,0.019072892,External,147,0
108-2013-14-All Students-Withdrawal-External-November,108-2013-14-All Students-Withdrawal-External,November,108,2013-14,All Students,Withdrawal,0.108843535,0.017704619,External,147,16
108-2013-14-All Students-Net Cumulative-External-November,108-2013-14-All Students-Net Cumulative-External,November,108,2013-14,All Students,Net Cumulative,-0.108843535,0.001368273,External,147,-16
108-2013-14-All Students-Entry-External-October,108-2013-14-All Students-Entry-External,October,108,2013-14,All Students,Entry,0,0.012231529,External,147,0
108-2013-14-All Students-Withdrawal-External-October,108-2013-14-All Students-Withdrawal-External,October,108,2013-14,All Students,Withdrawal,0.054421768,0.010096193,External,147,8
108-2013-14-All Students-Net Cumulative-External-October,108-2013-14-All Students-Net Cumulative-External,October,108,2013-14,All Students,Net Cumulative,-0.054421768,0.002135335,External,147,-8
109-2013-14-All Students-Entry-External-April,109-2013-14-All Students-Entry-External,April,109,2013-14,All Students,Entry,0.008042895,0.086674489,External,373,3
109-2013-14-All Students-Withdrawal-External-April,109-2013-14-All Students-Withdrawal-External,April,109,2013-14,All Students,Withdrawal,0.067024127,0.082102925,External,373,25
