,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
321-2013-14-All Students-Net Cumulative-External-November,321-2013-14-All Students-Net Cumulative-External,November,321,2013-14,All Students,Net Cumulative,0,0.000240761,External,381,0
322-2013-14-All Students-Entry-External-April,322-2013-14-All Students-Entry-External,April,322,2013-14,All Students,Entry,0.110344827,0.047614966,External,290,32
322-2013-14-All Students-Withdrawal-External-April,322-2013-14-All Students-Withdrawal-External,April,322,2013-14,All Students,Withdrawal,0.065517239,0.052543607,External,290,19
322-2013-14-All Students-Net Cumulative-External-April,322-2013-14-All Students-Net Cumulative-External,April,322,2013-14,All Students,Net Cumulative,0.044827588,-0.004928642,External,290,13
322-2013-14-All Students-Entry-External-December,322-2013-14-All Students-Entry-External,December,322,2013-14,All Students,Entry,0.058620691,0.02346462,External,290,17
322-2013-14-All Students-Withdrawal-External-December,322-2013-14-All Students-Withdrawal-External,December,322,2013-14,All Students,Withdrawal,0.037931036,0.02577894,External,290,11
322-2013-14-All Students-Net Cumulative-External-December,322-2013-14-All Students-Net Cumulative-External,December,322,2013-14,All Students,Net Cumulative,0.020689655,-0.002314319,External,290,6
322-2013-14-All Students-Entry-External-February,322-2013-14-All Students-Entry-External,February,322,2013-14,All Students,Entry,0.089655176,0.0368791,External,290,26
322-2013-14-All Students-Withdrawal-External-February,322-2013-14-All Students-Withdrawal-External,February,322,2013-14,All Students,Withdrawal,0.044827588,0.040672008,External,290,13
322-2013-14-All Students-Net Cumulative-External-February,322-2013-14-All Students-Net Cumulative-External,February,322,2013-14,All Students,Net Cumulative,0.044827588,-0.003792911,External,290,13
322-2013-14-All Students-Entry-External-January,322-2013-14-All Students-Entry-External,January,322,2013-14,All Students,Entry,0.075862072,0.031586166,External,290,22
322-2013-14-All Students-Withdrawal-External-January,322-2013-14-All Students-Withdrawal-External,January,322,2013-14,All Students,Withdrawal,0.04137931,0.034071915,External,290,12
322-2013-14-All Students-Net Cumulative-External-January,322-2013-14-All Students-Net Cumulative-External,January,322,2013-14,All Students,Net Cumulative,0.034482758,-0.00248575,External,290,10
322-2013-14-All Students-Entry-External-March,322-2013-14-All Students-Entry-External,March,322,2013-14,All Students,Entry,0.106896549,0.041829169,External,290,31
322-2013-14-All Students-Withdrawal-External-March,322-2013-14-All Students-Withdrawal-External,March,322,2013-14,All Students,Withdrawal,0.065517239,0.047057815,External,290,19
322-2013-14-All Students-Net Cumulative-External-March,322-2013-14-All Students-Net Cumulative-External,March,322,2013-14,All Students,Net Cumulative,0.04137931,-0.005228646,External,290,12
322-2013-14-All Students-Entry-External-May,322-2013-14-All Students-Entry-External,May,322,2013-14,All Students,Entry,0.110344827,0.052072171,External,290,32
322-2013-14-All Students-Withdrawal-External-May,322-2013-14-All Students-Withdrawal-External,May,322,2013-14,All Students,Withdrawal,0.075862072,0.056165088,External,290,22
322-2013-14-All Students-Net Cumulative-External-May,322-2013-14-All Students-Net Cumulative-External,May,322,2013-14,All Students,Net Cumulative,0.034482758,-0.004092915,External,290,10
322-2013-14-All Students-Entry-External-November,322-2013-14-All Students-Entry-External,November,322,2013-14,All Students,Entry,0.044827588,0.01965028,External,290,13
322-2013-14-All Students-Withdrawal-External-November,322-2013-14-All Students-Withdrawal-External,November,322,2013-14,All Students,Withdrawal,0.017241379,0.019071702,External,290,5
322-2013-14-All Students-Net Cumulative-External-November,322-2013-14-All Students-Net Cumulative-External,November,322,2013-14,All Students,Net Cumulative,0.027586207,0.00057858,External,290,8
322-2013-14-All Students-Entry-External-October,322-2013-14-All Students-Entry-External,October,322,2013-14,All Students,Entry,0.013793103,0.013221618,External,290,4
322-2013-14-All Students-Withdrawal-External-October,322-2013-14-All Students-Withdrawal-External,October,322,2013-14,All Students,Withdrawal,0.003448276,0.011743025,External,290,1
322-2013-14-All Students-Net Cumulative-External-October,322-2013-14-All Students-Net Cumulative-External,October,322,2013-14,All Students,Net Cumulative,0.010344828,0.001478593,External,290,3
324-2013-14-All Students-Entry-External-April,324-2013-14-All Students-Entry-External,April,324,2013-14,All Students,Entry,0.036199097,0.050190546,External,442,16
324-2013-14-All Students-Withdrawal-External-April,324-2013-14-All Students-Withdrawal-External,April,324,2013-14,All Students,Withdrawal,0.036199097,0.054866787,External,442,16
324-2013-14-All Students-Net Cumulative-External-April,324-2013-14-All Students-Net Cumulative-External,April,324,2013-14,All Students,Net Cumulative,0,-0.004676241,External,442,0
324-2013-14-All Students-Entry-External-December,324-2013-14-All Students-Entry-External,December,324,2013-14,All Students,Entry,0.013574661,0.024213277,External,442,6
324-2013-14-All Students-Withdrawal-External-December,324-2013-14-All Students-Withdrawal-External,December,324,2013-14,All Students,Withdrawal,0.015837105,0.025095273,External,442,7
324-2013-14-All Students-Net Cumulative-External-December,324-2013-14-All Students-Net Cumulative-External,December,324,2013-14,All Students,Net Cumulative,-0.002262444,-0.000881996,External,442,-1
324-2013-14-All Students-Entry-External-February,324-2013-14-All Students-Entry-External,February,324,2013-14,All Students,Entry,0.027149322,0.038325205,External,442,12
324-2013-14-All Students-Withdrawal-External-February,324-2013-14-All Students-Withdrawal-External,February,324,2013-14,All Students,Withdrawal,0.03167421,0.040355463,External,442,14
324-2013-14-All Students-Net Cumulative-External-February,324-2013-14-All Students-Net Cumulative-External,February,324,2013-14,All Students,Net Cumulative,-0.004524887,-0.002030254,External,442,-2
324-2013-14-All Students-Entry-External-January,324-2013-14-All Students-Entry-External,January,324,2013-14,All Students,Entry,0.024886878,0.032417499,External,442,11
324-2013-14-All Students-Withdrawal-External-January,324-2013-14-All Students-Withdrawal-External,January,324,2013-14,All Students,Withdrawal,0.024886878,0.033366062,External,442,11
324-2013-14-All Students-Net Cumulative-External-January,324-2013-14-All Students-Net Cumulative-External,January,324,2013-14,All Students,Net Cumulative,0,-0.000948561,External,442,0
324-2013-14-All Students-Entry-External-March,324-2013-14-All Students-Entry-External,March,324,2013-14,All Students,Entry,0.029411765,0.044232912,External,442,13
324-2013-14-All Students-Withdrawal-External-March,324-2013-14-All Students-Withdrawal-External,March,324,2013-14,All Students,Withdrawal,0.033936653,0.047411427,External,442,15
324-2013-14-All Students-Net Cumulative-External-March,324-2013-14-All Students-Net Cumulative-External,March,324,2013-14,All Students,Net Cumulative,-0.004524887,-0.003178513,External,442,-2
324-2013-14-All Students-Entry-External-May,324-2013-14-All Students-Entry-External,May,324,2013-14,All Students,Entry,0.036199097,0.05516633,External,442,16
324-2013-14-All Students-Withdrawal-External-May,324-2013-14-All Students-Withdrawal-External,May,324,2013-14,All Students,Withdrawal,0.04524887,0.059193555,External,442,20
324-2013-14-All Students-Net Cumulative-External-May,324-2013-14-All Students-Net Cumulative-External,May,324,2013-14,All Students,Net Cumulative,-0.009049774,-0.004027226,External,442,-4
324-2013-14-All Students-Entry-External-November,324-2013-14-All Students-Entry-External,November,324,2013-14,All Students,Entry,0.009049774,0.019903148,External,442,4
324-2013-14-All Students-Withdrawal-External-November,324-2013-14-All Students-Withdrawal-External,November,324,2013-14,All Students,Withdrawal,0.011312217,0.018505268,External,442,5
324-2013-14-All Students-Net Cumulative-External-November,324-2013-14-All Students-Net Cumulative-External,November,324,2013-14,All Students,Net Cumulative,-0.002262444,0.00139788,External,442,-1
324-2013-14-All Students-Entry-External-October,324-2013-14-All Students-Entry-External,October,324,2013-14,All Students,Entry,0.00678733,0.013379707,External,442,3
324-2013-14-All Students-Withdrawal-External-October,324-2013-14-All Students-Withdrawal-External,October,324,2013-14,All Students,Withdrawal,0.011312217,0.010983342,External,442,5
324-2013-14-All Students-Net Cumulative-External-October,324-2013-14-All Students-Net Cumulative-External,October,324,2013-14,All Students,Net Cumulative,-0.004524887,0.002396366,External,442,-2
325-2013-14-All Students-Entry-External-April,325-2013-14-All Students-Entry-External,April,325,2013-14,All Students,Entry,0.08454106,0.047614966,External,414,35
325-2013-14-All Students-Withdrawal-External-April,325-2013-14-All Students-Withdrawal-External,April,325,2013-14,All Students,Withdrawal,0.060386475,0.052543607,External,414,25
325-2013-14-All Students-Net Cumulative-External-April,325-2013-14-All Students-Net Cumulative-External,April,325,2013-14,All Students,Net Cumulative,0.024154589,-0.004928642,External,414,10
325-2013-14-All Students-Entry-External-December,325-2013-14-All Students-Entry-External,December,325,2013-14,All Students,Entry,0.031400967,0.02346462,External,414,13
325-2013-14-All Students-Withdrawal-External-December,325-2013-14-All Students-Withdrawal-External,December,325,2013-14,All Students,Withdrawal,0.033816423,0.02577894,External,414,14
325-2013-14-All Students-Net Cumulative-External-December,325-2013-14-All Students-Net Cumulative-External,December,325,2013-14,All Students,Net Cumulative,-0.002415459,-0.002314319,External,414,-1
325-2013-14-All Students-Entry-External-February,325-2013-14-All Students-Entry-External,February,325,2013-14,All Students,Entry,0.062801935,0.0368791,External,414,26
325-2013-14-All Students-Withdrawal-External-February,325-2013-14-All Students-Withdrawal-External,February,325,2013-14,All Students,Withdrawal,0.043478262,0.040672008,External,414,18
325-2013-14-All Students-Net Cumulative-External-February,325-2013-14-All Students-Net Cumulative-External,February,325,2013-14,All Students,Net Cumulative,0.019323671,-0.003792911,External,414,8
325-2013-14-All Students-Entry-External-January,325-2013-14-All Students-Entry-External,January,325,2013-14,All Students,Entry,0.048309177,0.031586166,External,414,20
325-2013-14-All Students-Withdrawal-External-January,325-2013-14-All Students-Withdrawal-External,January,325,2013-14,All Students,Withdrawal,0.038647342,0.034071915,External,414,16
325-2013-14-All Students-Net Cumulative-External-January,325-2013-14-All Students-Net Cumulative-External,January,325,2013-14,All Students,Net Cumulative,0.009661836,-0.00248575,External,414,4
325-2013-14-All Students-Entry-External-March,325-2013-14-All Students-Entry-External,March,325,2013-14,All Students,Entry,0.082125604,0.041829169,External,414,34
325-2013-14-All Students-Withdrawal-External-March,325-2013-14-All Students-Withdrawal-External,March,325,2013-14,All Students,Withdrawal,0.060386475,0.047057815,External,414,25
325-2013-14-All Students-Net Cumulative-External-March,325-2013-14-All Students-Net Cumulative-External,March,325,2013-14,All Students,Net Cumulative,0.021739131,-0.005228646,External,414,9
325-2013-14-All Students-Entry-External-May,325-2013-14-All Students-Entry-External,May,325,2013-14,All Students,Entry,0.101449274,0.052072171,External,414,42
325-2013-14-All Students-Withdrawal-External-May,325-2013-14-All Students-Withdrawal-External,May,325,2013-14,All Students,Withdrawal,0.065217391,0.056165088,External,414,27
325-2013-14-All Students-Net Cumulative-External-May,325-2013-14-All Students-Net Cumulative-External,May,325,2013-14,All Students,Net Cumulative,0.036231883,-0.004092915,External,414,15
325-2013-14-All Students-Entry-External-November,325-2013-14-All Students-Entry-External,November,325,2013-14,All Students,Entry,0.024154589,0.01965028,External,414,10
325-2013-14-All Students-Withdrawal-External-November,325-2013-14-All Students-Withdrawal-External,November,325,2013-14,All Students,Withdrawal,0.026570048,0.019071702,External,414,11
325-2013-14-All Students-Net Cumulative-External-November,325-2013-14-All Students-Net Cumulative-External,November,325,2013-14,All Students,Net Cumulative,-0.002415459,0.00057858,External,414,-1
325-2013-14-All Students-Entry-External-October,325-2013-14-All Students-Entry-External,October,325,2013-14,All Students,Entry,0.009661836,0.013221618,External,414,4
325-2013-14-All Students-Withdrawal-External-October,325-2013-14-All Students-Withdrawal-External,October,325,2013-14,All Students,Withdrawal,0.004830918,0.011743025,External,414,2
325-2013-14-All Students-Net Cumulative-External-October,325-2013-14-All Students-Net Cumulative-External,October,325,2013-14,All Students,Net Cumulative,0.004830918,0.001478593,External,414,2
326-2013-14-All Students-Entry-External-April,326-2013-14-All Students-Entry-External,April,326,2013-14,All Students,Entry,0.031141868,0.047614966,External,289,9
326-2013-14-All Students-Withdrawal-External-April,326-2013-14-All Students-Withdrawal-External,April,326,2013-14,All Students,Withdrawal,0.027681662,0.052543607,External,289,8
326-2013-14-All Students-Net Cumulative-External-April,326-2013-14-All Students-Net Cumulative-External,April,326,2013-14,All Students,Net Cumulative,0.003460208,-0.004928642,External,289,1
326-2013-14-All Students-Entry-External-December,326-2013-14-All Students-Entry-External,December,326,2013-14,All Students,Entry,0.017301038,0.02346462,External,289,5
326-2013-14-All Students-Withdrawal-External-December,326-2013-14-All Students-Withdrawal-External,December,326,2013-14,All Students,Withdrawal,0.013840831,0.02577894,External,289,4
326-2013-14-All Students-Net Cumulative-External-December,326-2013-14-All Students-Net Cumulative-External,December,326,2013-14,All Students,Net Cumulative,0.003460208,-0.002314319,External,289,1
326-2013-14-All Students-Entry-External-February,326-2013-14-All Students-Entry-External,February,326,2013-14,All Students,Entry,0.027681662,0.0368791,External,289,8
326-2013-14-All Students-Withdrawal-External-February,326-2013-14-All Students-Withdrawal-External,February,326,2013-14,All Students,Withdrawal,0.027681662,0.040672008,External,289,8
326-2013-14-All Students-Net Cumulative-External-February,326-2013-14-All Students-Net Cumulative-External,February,326,2013-14,All Students,Net Cumulative,0,-0.003792911,External,289,0
326-2013-14-All Students-Entry-External-January,326-2013-14-All Students-Entry-External,January,326,2013-14,All Students,Entry,0.027681662,0.031586166,External,289,8
326-2013-14-All Students-Withdrawal-External-January,326-2013-14-All Students-Withdrawal-External,January,326,2013-14,All Students,Withdrawal,0.024221454,0.034071915,External,289,7
326-2013-14-All Students-Net Cumulative-External-January,326-2013-14-All Students-Net Cumulative-External,January,326,2013-14,All Students,Net Cumulative,0.003460208,-0.00248575,External,289,1
326-2013-14-All Students-Entry-External-March,326-2013-14-All Students-Entry-External,March,326,2013-14,All Students,Entry,0.031141868,0.041829169,External,289,9
326-2013-14-All Students-Withdrawal-External-March,326-2013-14-All Students-Withdrawal-External,March,326,2013-14,All Students,Withdrawal,0.027681662,0.047057815,External,289,8
326-2013-14-All Students-Net Cumulative-External-March,326-2013-14-All Students-Net Cumulative-External,March,326,2013-14,All Students,Net Cumulative,0.003460208,-0.005228646,External,289,1
326-2013-14-All Students-Entry-External-May,326-2013-14-All Students-Entry-External,May,326,2013-14,All Students,Entry,0.034602076,0.052072171,External,289,10
326-2013-14-All Students-Withdrawal-External-May,326-2013-14-All Students-Withdrawal-External,May,326,2013-14,All Students,Withdrawal,0.027681662,0.056165088,External,289,8
326-2013-14-All Students-Net Cumulative-External-May,326-2013-14-All Students-Net Cumulative-External,May,326,2013-14,All Students,Net Cumulative,0.006920415,-0.004092915,External,289,2
326-2013-14-All Students-Entry-External-November,326-2013-14-All Students-Entry-External,November,326,2013-14,All Students,Entry,0.013840831,0.01965028,External,289,4
326-2013-14-All Students-Withdrawal-External-November,326-2013-14-All Students-Withdrawal-External,November,326,2013-14,All Students,Withdrawal,0.013840831,0.019071702,External,289,4
326-2013-14-All Students-Net Cumulative-External-November,326-2013-14-All Students-Net Cumulative-External,November,326,2013-14,All Students,Net Cumulative,0,0.00057858,External,289,0
326-2013-14-All Students-Entry-External-October,326-2013-14-All Students-Entry-External,October,326,2013-14,All Students,Entry,0.006920415,0.013221618,External,289,2
326-2013-14-All Students-Withdrawal-External-October,326-2013-14-All Students-Withdrawal-External,October,326,2013-14,All Students,Withdrawal,0,0.011743025,External,289,0
326-2013-14-All Students-Net Cumulative-External-October,326-2013-14-All Students-Net Cumulative-External,October,326,2013-14,All Students,Net Cumulative,0.006920415,0.001478593,External,289,2
327-2013-14-All Students-Entry-External-April,327-2013-14-All Students-Entry-External,April,327,2013-14,All Students,Entry,0.106250003,0.050190546,External,480,51
327-2013-14-All Students-Withdrawal-External-April,327-2013-14-All Students-Withdrawal-External,April,327,2013-14,All Students,Withdrawal,0.039583333,0.054866787,External,480,19
327-2013-14-All Students-Net Cumulative-External-April,327-2013-14-All Students-Net Cumulative-External,April,327,2013-14,All Students,Net Cumulative,0.06666667,-0.004676241,External,480,32
327-2013-14-All Students-Entry-External-December,327-2013-14-All Students-Entry-External,December,327,2013-14,All Students,Entry,0.043749999,0.024213277,External,480,21
327-2013-14-All Students-Withdrawal-External-December,327-2013-14-All Students-Withdrawal-External,December,327,2013-14,All Students,Withdrawal,0.022916667,0.025095273,External,480,11
327-2013-14-All Students-Net Cumulative-External-December,327-2013-14-All Students-Net Cumulative-External,December,327,2013-14,All Students,Net Cumulative,0.020833334,-0.000881996,External,480,10
327-2013-14-All Students-Entry-External-February,327-2013-14-All Students-Entry-External,February,327,2013-14,All Students,Entry,0.072916664,0.038325205,External,480,35
327-2013-14-All Students-Withdrawal-External-February,327-2013-14-All Students-Withdrawal-External,February,327,2013-14,All Students,Withdrawal,0.033333335,0.040355463,External,480,16
327-2013-14-All Students-Net Cumulative-External-February,327-2013-14-All Students-Net Cumulative-External,February,327,2013-14,All Students,Net Cumulative,0.039583333,-0.002030254,External,480,19
327-2013-14-All Students-Entry-External-January,327-2013-14-All Students-Entry-External,January,327,2013-14,All Students,Entry,0.052083332,0.032417499,External,480,25
327-2013-14-All Students-Withdrawal-External-January,327-2013-14-All Students-Withdrawal-External,January,327,2013-14,All Students,Withdrawal,0.029166667,0.033366062,External,480,14
327-2013-14-All Students-Net Cumulative-External-January,327-2013-14-All Students-Net Cumulative-External,January,327,2013-14,All Students,Net Cumulative,0.022916667,-0.000948561,External,480,11
327-2013-14-All Students-Entry-External-March,327-2013-14-All Students-Entry-External,March,327,2013-14,All Students,Entry,0.09375,0.044232912,External,480,45
327-2013-14-All Students-Withdrawal-External-March,327-2013-14-All Students-Withdrawal-External,March,327,2013-14,All Students,Withdrawal,0.035416666,0.047411427,External,480,17
327-2013-14-All Students-Net Cumulative-External-March,327-2013-14-All Students-Net Cumulative-External,March,327,2013-14,All Students,Net Cumulative,0.058333334,-0.003178513,External,480,28
327-2013-14-All Students-Entry-External-May,327-2013-14-All Students-Entry-External,May,327,2013-14,All Students,Entry,0.114583336,0.05516633,External,480,55
327-2013-14-All Students-Withdrawal-External-May,327-2013-14-All Students-Withdrawal-External,May,327,2013-14,All Students,Withdrawal,0.045833334,0.059193555,External,480,22
327-2013-14-All Students-Net Cumulative-External-May,327-2013-14-All Students-Net Cumulative-External,May,327,2013-14,All Students,Net Cumulative,0.068750001,-0.004027226,External,480,33
327-2013-14-All Students-Entry-External-November,327-2013-14-All Students-Entry-External,November,327,2013-14,All Students,Entry,0.027083334,0.019903148,External,480,13
327-2013-14-All Students-Withdrawal-External-November,327-2013-14-All Students-Withdrawal-External,November,327,2013-14,All Students,Withdrawal,0.008333334,0.018505268,External,480,4
327-2013-14-All Students-Net Cumulative-External-November,327-2013-14-All Students-Net Cumulative-External,November,327,2013-14,All Students,Net Cumulative,0.018750001,0.00139788,External,480,9
327-2013-14-All Students-Entry-External-October,327-2013-14-All Students-Entry-External,October,327,2013-14,All Students,Entry,0.008333334,0.013379707,External,480,4
327-2013-14-All Students-Withdrawal-External-October,327-2013-14-All Students-Withdrawal-External,October,327,2013-14,All Students,Withdrawal,0,0.010983342,External,480,0
327-2013-14-All Students-Net Cumulative-External-October,327-2013-14-All Students-Net Cumulative-External,October,327,2013-14,All Students,Net Cumulative,0.008333334,0.002396366,External,480,4
328-2013-14-All Students-Entry-External-April,328-2013-14-All Students-Entry-External,April,328,2013-14,All Students,Entry,0.029469548,0.047614966,External,509,15
328-2013-14-All Students-Withdrawal-External-April,328-2013-14-All Students-Withdrawal-External,April,328,2013-14,All Students,Withdrawal,0.037328094,0.052543607,External,509,19
328-2013-14-All Students-Net Cumulative-External-April,328-2013-14-All Students-Net Cumulative-External,April,328,2013-14,All Students,Net Cumulative,-0.007858546,-0.004928642,External,509,-4
328-2013-14-All Students-Entry-External-December,328-2013-14-All Students-Entry-External,December,328,2013-14,All Students,Entry,0.013752456,0.02346462,External,509,7
328-2013-14-All Students-Withdrawal-External-December,328-2013-14-All Students-Withdrawal-External,December,328,2013-14,All Students,Withdrawal,0.021611001,0.02577894,External,509,11
328-2013-14-All Students-Net Cumulative-External-December,328-2013-14-All Students-Net Cumulative-External,December,328,2013-14,All Students,Net Cumulative,-0.007858546,-0.002314319,External,509,-4
328-2013-14-All Students-Entry-External-February,328-2013-14-All Students-Entry-External,February,328,2013-14,All Students,Entry,0.023575639,0.0368791,External,509,12
328-2013-14-All Students-Withdrawal-External-February,328-2013-14-All Students-Withdrawal-External,February,328,2013-14,All Students,Withdrawal,0.033398822,0.040672008,External,509,17
328-2013-14-All Students-Net Cumulative-External-February,328-2013-14-All Students-Net Cumulative-External,February,328,2013-14,All Students,Net Cumulative,-0.009823183,-0.003792911,External,509,-5
328-2013-14-All Students-Entry-External-January,328-2013-14-All Students-Entry-External,January,328,2013-14,All Students,Entry,0.019646365,0.031586166,External,509,10
328-2013-14-All Students-Withdrawal-External-January,328-2013-14-All Students-Withdrawal-External,January,328,2013-14,All Students,Withdrawal,0.025540275,0.034071915,External,509,13
328-2013-14-All Students-Net Cumulative-External-January,328-2013-14-All Students-Net Cumulative-External,January,328,2013-14,All Students,Net Cumulative,-0.00589391,-0.00248575,External,509,-3
328-2013-14-All Students-Entry-External-March,328-2013-14-All Students-Entry-External,March,328,2013-14,All Students,Entry,0.029469548,0.041829169,External,509,15
328-2013-14-All Students-Withdrawal-External-March,328-2013-14-All Students-Withdrawal-External,March,328,2013-14,All Students,Withdrawal,0.037328094,0.047057815,External,509,19
328-2013-14-All Students-Net Cumulative-External-March,328-2013-14-All Students-Net Cumulative-External,March,328,2013-14,All Students,Net Cumulative,-0.007858546,-0.005228646,External,509,-4
328-2013-14-All Students-Entry-External-May,328-2013-14-All Students-Entry-External,May,328,2013-14,All Students,Entry,0.03929273,0.052072171,External,509,20
328-2013-14-All Students-Withdrawal-External-May,328-2013-14-All Students-Withdrawal-External,May,328,2013-14,All Students,Withdrawal,0.041257367,0.056165088,External,509,21
328-2013-14-All Students-Net Cumulative-External-May,328-2013-14-All Students-Net Cumulative-External,May,328,2013-14,All Students,Net Cumulative,-0.001964637,-0.004092915,External,509,-1
328-2013-14-All Students-Entry-External-November,328-2013-14-All Students-Entry-External,November,328,2013-14,All Students,Entry,0.007858546,0.01965028,External,509,4
328-2013-14-All Students-Withdrawal-External-November,328-2013-14-All Students-Withdrawal-External,November,328,2013-14,All Students,Withdrawal,0.013752456,0.019071702,External,509,7
328-2013-14-All Students-Net Cumulative-External-November,328-2013-14-All Students-Net Cumulative-External,November,328,2013-14,All Students,Net Cumulative,-0.00589391,0.00057858,External,509,-3
328-2013-14-All Students-Entry-External-October,328-2013-14-All Students-Entry-External,October,328,2013-14,All Students,Entry,0.003929273,0.013221618,External,509,2
328-2013-14-All Students-Withdrawal-External-October,328-2013-14-All Students-Withdrawal-External,October,328,2013-14,All Students,Withdrawal,0.001964637,0.011743025,External,509,1
328-2013-14-All Students-Net Cumulative-External-October,328-2013-14-All Students-Net Cumulative-External,October,328,2013-14,All Students,Net Cumulative,0.001964637,0.001478593,External,509,1
329-2013-14-All Students-Entry-External-April,329-2013-14-All Students-Entry-External,April,329,2013-14,All Students,Entry,0.054590572,0.047614966,External,403,22
329-2013-14-All Students-Withdrawal-External-April,329-2013-14-All Students-Withdrawal-External,April,329,2013-14,All Students,Withdrawal,0.062034741,0.052543607,External,403,25
329-2013-14-All Students-Net Cumulative-External-April,329-2013-14-All Students-Net Cumulative-External,April,329,2013-14,All Students,Net Cumulative,-0.007444169,-0.004928642,External,403,-3
329-2013-14-All Students-Entry-External-December,329-2013-14-All Students-Entry-External,December,329,2013-14,All Students,Entry,0.039702233,0.02346462,External,403,16
329-2013-14-All Students-Withdrawal-External-December,329-2013-14-All Students-Withdrawal-External,December,329,2013-14,All Students,Withdrawal,0.034739453,0.02577894,External,403,14
329-2013-14-All Students-Net Cumulative-External-December,329-2013-14-All Students-Net Cumulative-External,December,329,2013-14,All Students,Net Cumulative,0.004962779,-0.002314319,External,403,2
329-2013-14-All Students-Entry-External-February,329-2013-14-All Students-Entry-External,February,329,2013-14,All Students,Entry,0.049627792,0.0368791,External,403,20
329-2013-14-All Students-Withdrawal-External-February,329-2013-14-All Students-Withdrawal-External,February,329,2013-14,All Students,Withdrawal,0.047146402,0.040672008,External,403,19
329-2013-14-All Students-Net Cumulative-External-February,329-2013-14-All Students-Net Cumulative-External,February,329,2013-14,All Students,Net Cumulative,0.00248139,-0.003792911,External,403,1
329-2013-14-All Students-Entry-External-January,329-2013-14-All Students-Entry-External,January,329,2013-14,All Students,Entry,0.044665013,0.031586166,External,403,18
329-2013-14-All Students-Withdrawal-External-January,329-2013-14-All Students-Withdrawal-External,January,329,2013-14,All Students,Withdrawal,0.039702233,0.034071915,External,403,16
329-2013-14-All Students-Net Cumulative-External-January,329-2013-14-All Students-Net Cumulative-External,January,329,2013-14,All Students,Net Cumulative,0.004962779,-0.00248575,External,403,2
329-2013-14-All Students-Entry-External-March,329-2013-14-All Students-Entry-External,March,329,2013-14,All Students,Entry,0.052109182,0.041829169,External,403,21
329-2013-14-All Students-Withdrawal-External-March,329-2013-14-All Students-Withdrawal-External,March,329,2013-14,All Students,Withdrawal,0.062034741,0.047057815,External,403,25
329-2013-14-All Students-Net Cumulative-External-March,329-2013-14-All Students-Net Cumulative-External,March,329,2013-14,All Students,Net Cumulative,-0.009925558,-0.005228646,External,403,-4
329-2013-14-All Students-Entry-External-May,329-2013-14-All Students-Entry-External,May,329,2013-14,All Students,Entry,0.066997521,0.052072171,External,403,27
329-2013-14-All Students-Withdrawal-External-May,329-2013-14-All Students-Withdrawal-External,May,329,2013-14,All Students,Withdrawal,0.062034741,0.056165088,External,403,25
329-2013-14-All Students-Net Cumulative-External-May,329-2013-14-All Students-Net Cumulative-External,May,329,2013-14,All Students,Net Cumulative,0.004962779,-0.004092915,External,403,2
329-2013-14-All Students-Entry-External-November,329-2013-14-All Students-Entry-External,November,329,2013-14,All Students,Entry,0.029776676,0.01965028,External,403,12
329-2013-14-All Students-Withdrawal-External-November,329-2013-14-All Students-Withdrawal-External,November,329,2013-14,All Students,Withdrawal,0.022332506,0.019071702,External,403,9
329-2013-14-All Students-Net Cumulative-External-November,329-2013-14-All Students-Net Cumulative-External,November,329,2013-14,All Students,Net Cumulative,0.007444169,0.00057858,External,403,3
329-2013-14-All Students-Entry-External-October,329-2013-14-All Students-Entry-External,October,329,2013-14,All Students,Entry,0.019851116,0.013221618,External,403,8
329-2013-14-All Students-Withdrawal-External-October,329-2013-14-All Students-Withdrawal-External,October,329,2013-14,All Students,Withdrawal,0.009925558,0.011743025,External,403,4
329-2013-14-All Students-Net Cumulative-External-October,329-2013-14-All Students-Net Cumulative-External,October,329,2013-14,All Students,Net Cumulative,0.009925558,0.001478593,External,403,4
330-2013-14-All Students-Entry-External-April,330-2013-14-All Students-Entry-External,April,330,2013-14,All Students,Entry,0.033530571,0.047614966,External,507,17
330-2013-14-All Students-Withdrawal-External-April,330-2013-14-All Students-Withdrawal-External,April,330,2013-14,All Students,Withdrawal,0.047337279,0.052543607,External,507,24
330-2013-14-All Students-Net Cumulative-External-April,330-2013-14-All Students-Net Cumulative-External,April,330,2013-14,All Students,Net Cumulative,-0.013806706,-0.004928642,External,507,-7
330-2013-14-All Students-Entry-External-December,330-2013-14-All Students-Entry-External,December,330,2013-14,All Students,Entry,0.019723866,0.02346462,External,507,10
330-2013-14-All Students-Withdrawal-External-December,330-2013-14-All Students-Withdrawal-External,December,330,2013-14,All Students,Withdrawal,0.009861933,0.02577894,External,507,5
330-2013-14-All Students-Net Cumulative-External-December,330-2013-14-All Students-Net Cumulative-External,December,330,2013-14,All Students,Net Cumulative,0.009861933,-0.002314319,External,507,5
330-2013-14-All Students-Entry-External-February,330-2013-14-All Students-Entry-External,February,330,2013-14,All Students,Entry,0.027613413,0.0368791,External,507,14
330-2013-14-All Students-Withdrawal-External-February,330-2013-14-All Students-Withdrawal-External,February,330,2013-14,All Students,Withdrawal,0.035502959,0.040672008,External,507,18
330-2013-14-All Students-Net Cumulative-External-February,330-2013-14-All Students-Net Cumulative-External,February,330,2013-14,All Students,Net Cumulative,-0.007889546,-0.003792911,External,507,-4
